Customer ID,Age,Income,Education,Country,Customer Segment,Average Spend,Purchases,Response Rate
78,50,75825.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
79,50,26326.00,2n Cycle,Australia,Low Value,0.00,0,0.0000
80,61,56046.00,Graduation,Australia,Low Value,0.00,0,0.0000
81,41,29760.00,Graduation,Canada,Low Value,0.00,0,0.0000
82,57,26304.00,Graduation,Canada,Low Value,0.00,0,0.0000
83,53,23559.00,2n Cycle,Australia,Low Value,0.00,0,0.0000
84,63,38620.00,Master,Germany,Low Value,0.00,0,0.0000
85,39,81361.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
86,66,29440.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
87,56,36138.00,Master,United Kingdom,Low Value,0.00,0,0.0000
88,69,50388.00,Graduation,United States,Low Value,0.00,0,0.0000
89,53,79593.00,Graduation,Germany,Low Value,0.00,0,0.0000
90,59,54178.00,Graduation,Canada,Low Value,0.00,0,0.0000
91,69,0.00,PhD,United Kingdom,Low Value,0.00,0,0.0000
92,69,0.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
93,53,0.00,Master,United States,Low Value,0.00,0,0.0000
94,54,42394.00,Master,United Kingdom,Low Value,0.00,0,0.0000
95,56,23626.00,PhD,Canada,Low Value,0.00,0,0.0000
96,43,30096.00,Graduation,Germany,Low Value,0.00,0,0.0000
97,66,47916.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
98,54,51813.00,Graduation,Canada,Low Value,0.00,0,0.0000
99,75,78497.00,2n Cycle,Germany,Low Value,0.00,0,0.0000
100,43,50150.00,PhD,Germany,Low Value,0.00,0,0.0000
101,66,47823.00,2n Cycle,Canada,Low Value,0.00,0,0.0000
102,67,34554.00,PhD,Australia,Low Value,0.00,0,0.0000
103,47,85693.00,Graduation,Australia,Low Value,0.00,0,0.0000
104,81,65846.00,PhD,United Kingdom,Low Value,0.00,0,0.0000
105,67,87195.00,Graduation,Canada,Low Value,0.00,0,0.0000
106,47,24594.00,Basic,United Kingdom,Low Value,0.00,0,0.0000
107,62,49096.00,Graduation,Australia,Low Value,0.00,0,0.0000
108,57,52413.00,Graduation,Australia,Low Value,0.00,0,0.0000
109,48,38557.00,Graduation,Canada,Low Value,0.00,0,0.0000
110,66,89058.00,Master,United States,Low Value,0.00,0,0.0000
111,47,77298.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
112,35,68126.00,PhD,United States,Low Value,0.00,0,0.0000
113,63,57288.00,Master,United States,Low Value,0.00,0,0.0000
114,35,86037.00,Graduation,Canada,Low Value,0.00,0,0.0000
115,46,43974.00,PhD,Germany,Low Value,0.00,0,0.0000
116,64,50785.00,Graduation,Germany,Low Value,0.00,0,0.0000
117,56,90765.00,Graduation,United States,Low Value,0.00,0,0.0000
118,48,36550.00,2n Cycle,Germany,Low Value,0.00,0,0.0000
119,59,30753.00,2n Cycle,United States,Low Value,0.00,0,0.0000
120,57,21918.00,Graduation,United States,Low Value,0.00,0,0.0000
121,73,56129.00,Master,Germany,Low Value,0.00,0,0.0000
122,59,32557.00,Master,United States,Low Value,0.00,0,0.0000
123,41,19510.00,Master,Australia,Low Value,0.00,0,0.0000
124,50,30992.00,Graduation,Canada,Low Value,0.00,0,0.0000
125,43,101970.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
126,61,71488.00,2n Cycle,Canada,Low Value,0.00,0,0.0000
127,42,79607.00,Graduation,United States,Low Value,0.00,0,0.0000
128,73,54348.00,Master,Canada,Low Value,0.00,0,0.0000
129,65,0.00,PhD,Australia,Low Value,0.00,0,0.0000
130,70,77376.00,PhD,Australia,Low Value,0.00,0,0.0000
131,74,62998.00,Graduation,Germany,Low Value,0.00,0,0.0000
132,68,61331.00,Master,Canada,Low Value,0.00,0,0.0000
133,57,73448.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
134,63,0.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
135,62,41551.00,PhD,Australia,Low Value,0.00,0,0.0000
136,59,62981.00,PhD,Canada,Low Value,0.00,0,0.0000
137,50,9548.00,Basic,United States,Low Value,0.00,0,0.0000
138,67,33762.00,PhD,Australia,Low Value,0.00,0,0.0000
139,53,35860.00,PhD,Australia,Low Value,0.00,0,0.0000
140,61,36921.00,PhD,United States,Low Value,0.00,0,0.0000
141,34,92859.00,Master,Australia,Low Value,0.00,0,0.0000
142,50,65104.00,Master,United States,Low Value,0.00,0,0.0000
143,64,86111.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
144,52,68352.00,PhD,Canada,Low Value,0.00,0,0.0000
145,38,41883.00,Graduation,Canada,Low Value,0.00,0,0.0000
146,50,59809.00,Graduation,United States,Low Value,0.00,0,0.0000
147,51,23957.00,Graduation,Canada,Low Value,0.00,0,0.0000
148,45,38547.00,Graduation,Germany,Low Value,0.00,0,0.0000
149,53,35688.00,2n Cycle,Australia,Low Value,0.00,0,0.0000
150,60,49605.00,Master,United Kingdom,Low Value,0.00,0,0.0000
151,73,59354.00,Master,Canada,Low Value,0.00,0,0.0000
152,57,65747.00,Graduation,Canada,Low Value,0.00,0,0.0000
153,54,46344.00,2n Cycle,Canada,Low Value,0.00,0,0.0000
154,38,34176.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
155,74,61010.00,PhD,Germany,Low Value,0.00,0,0.0000
156,77,69372.00,Graduation,Canada,Low Value,0.00,0,0.0000
157,68,49967.00,Graduation,Australia,Low Value,0.00,0,0.0000
158,48,60199.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
159,49,55375.00,Graduation,Canada,Low Value,0.00,0,0.0000
160,71,80317.00,Graduation,Australia,Low Value,0.00,0,0.0000
161,68,30523.00,Master,Australia,Low Value,0.00,0,0.0000
162,81,70356.00,PhD,Australia,Low Value,0.00,0,0.0000
163,42,23228.00,Graduation,Australia,Low Value,0.00,0,0.0000
164,51,74165.00,PhD,United States,Low Value,0.00,0,0.0000
165,53,157243.00,PhD,United States,Low Value,0.00,0,0.0000
166,60,43482.00,Graduation,Canada,Low Value,0.00,0,0.0000
167,73,62551.00,Graduation,Canada,Low Value,0.00,0,0.0000
168,67,52332.00,Graduation,United States,Low Value,0.00,0,0.0000
169,38,66951.00,Graduation,Germany,Low Value,0.00,0,0.0000
170,69,26091.00,Graduation,Canada,Low Value,0.00,0,0.0000
171,61,33456.00,Graduation,Germany,Low Value,0.00,0,0.0000
172,44,28718.00,Graduation,Canada,Low Value,0.00,0,0.0000
173,56,50447.00,Graduation,Germany,Low Value,0.00,0,0.0000
174,67,53537.00,PhD,Canada,Low Value,0.00,0,0.0000
175,59,52074.00,Graduation,United States,Low Value,0.00,0,0.0000
176,51,80427.00,PhD,United Kingdom,Low Value,0.00,0,0.0000
177,78,83837.00,PhD,United States,Low Value,0.00,0,0.0000
178,56,38853.00,PhD,United States,Low Value,0.00,0,0.0000
179,67,38285.00,Graduation,Germany,Low Value,0.00,0,0.0000
180,75,78497.00,2n Cycle,Australia,Low Value,0.00,0,0.0000
181,50,51650.00,PhD,United Kingdom,Low Value,0.00,0,0.0000
182,38,16248.00,2n Cycle,Germany,Low Value,0.00,0,0.0000
183,80,66835.00,Master,United States,Low Value,0.00,0,0.0000
184,42,30477.00,Master,Canada,Low Value,0.00,0,0.0000
185,65,28249.00,Basic,Germany,Low Value,0.00,0,0.0000
186,43,25271.00,Graduation,United States,Low Value,0.00,0,0.0000
187,56,32303.00,PhD,United Kingdom,Low Value,0.00,0,0.0000
188,60,61286.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
189,50,74068.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
190,62,45759.00,PhD,United States,Low Value,0.00,0,0.0000
191,48,24882.00,Basic,United States,Low Value,0.00,0,0.0000
192,37,66973.00,PhD,Australia,Low Value,0.00,0,0.0000
193,126,36640.00,2n Cycle,Australia,Low Value,0.00,0,0.0000
194,38,38872.00,Graduation,Australia,Low Value,0.00,0,0.0000
195,53,51148.00,Graduation,United States,Low Value,0.00,0,0.0000
196,49,31353.00,Graduation,Germany,Low Value,0.00,0,0.0000
197,46,69661.00,Master,Australia,Low Value,0.00,0,0.0000
198,72,80067.00,Graduation,Australia,Low Value,0.00,0,0.0000
199,72,86718.00,Graduation,United States,Low Value,0.00,0,0.0000
200,53,46854.00,PhD,United Kingdom,Low Value,0.00,0,0.0000
201,74,69142.00,Graduation,Germany,Low Value,0.00,0,0.0000
202,58,75922.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
203,48,63693.00,Graduation,United States,Low Value,0.00,0,0.0000
204,49,102160.00,PhD,Canada,Low Value,0.00,0,0.0000
205,61,40637.00,PhD,Canada,Low Value,0.00,0,0.0000
206,42,18890.00,Master,Australia,Low Value,0.00,0,0.0000
207,38,29604.00,Graduation,Australia,Low Value,0.00,0,0.0000
208,63,48721.00,Master,Germany,Low Value,0.00,0,0.0000
209,60,44794.00,Graduation,United States,Low Value,0.00,0,0.0000
210,72,64497.00,Graduation,Canada,Low Value,0.00,0,0.0000
211,70,46097.00,Graduation,Germany,Low Value,0.00,0,0.0000
212,72,77972.00,Graduation,Canada,Low Value,0.00,0,0.0000
213,58,44377.00,PhD,United Kingdom,Low Value,0.00,0,0.0000
214,52,46014.00,Master,United States,Low Value,0.00,0,0.0000
215,41,70951.00,Graduation,United States,Low Value,0.00,0,0.0000
216,49,41443.00,Graduation,Australia,Low Value,0.00,0,0.0000
217,48,52195.00,2n Cycle,United Kingdom,Low Value,0.00,0,0.0000
218,78,83790.00,Master,United States,Low Value,0.00,0,0.0000
219,72,44551.00,Master,United Kingdom,Low Value,0.00,0,0.0000
220,46,69508.00,Graduation,United States,Low Value,0.00,0,0.0000
221,38,45204.00,2n Cycle,Canada,Low Value,0.00,0,0.0000
222,57,72460.00,Graduation,Germany,Low Value,0.00,0,0.0000
223,56,77622.00,PhD,Canada,Low Value,0.00,0,0.0000
224,46,30732.00,PhD,Canada,Low Value,0.00,0,0.0000
225,64,63887.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
226,48,42011.00,Graduation,Germany,Low Value,0.00,0,0.0000
227,50,51369.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
228,74,51537.00,Graduation,Canada,Low Value,0.00,0,0.0000
229,54,79930.00,PhD,United Kingdom,Low Value,0.00,0,0.0000
230,40,34320.00,PhD,United Kingdom,Low Value,0.00,0,0.0000
231,60,37070.00,Graduation,United States,Low Value,0.00,0,0.0000
232,64,81975.00,2n Cycle,United States,Low Value,0.00,0,0.0000
233,55,38590.00,Graduation,Germany,Low Value,0.00,0,0.0000
234,75,15033.00,Graduation,United States,Low Value,0.00,0,0.0000
235,61,62745.00,PhD,Germany,Low Value,0.00,0,0.0000
236,51,22212.00,2n Cycle,United States,Low Value,0.00,0,0.0000
237,44,23661.00,Master,Canada,Low Value,0.00,0,0.0000
238,68,79761.00,PhD,United Kingdom,Low Value,0.00,0,0.0000
239,53,7500.00,Graduation,United States,Low Value,0.00,0,0.0000
240,133,60182.00,2n Cycle,Canada,Low Value,0.00,0,0.0000
241,58,73455.00,Graduation,Australia,Low Value,0.00,0,0.0000
242,68,64961.00,Graduation,Germany,Low Value,0.00,0,0.0000
243,55,22804.00,Graduation,United States,Low Value,0.00,0,0.0000
244,36,73687.00,Graduation,Canada,Low Value,0.00,0,0.0000
245,68,61074.00,Graduation,Australia,Low Value,0.00,0,0.0000
246,62,31686.00,PhD,United States,Low Value,0.00,0,0.0000
247,54,80134.00,Graduation,Germany,Low Value,0.00,0,0.0000
248,73,75027.00,Graduation,Germany,Low Value,0.00,0,0.0000
249,38,67546.00,PhD,United States,Low Value,0.00,0,0.0000
250,57,65176.00,Master,Germany,Low Value,0.00,0,0.0000
251,51,31160.00,Master,United States,Low Value,0.00,0,0.0000
252,41,29938.00,Graduation,Australia,Low Value,0.00,0,0.0000
253,52,102692.00,Graduation,United States,Low Value,0.00,0,0.0000
254,68,26490.00,2n Cycle,United Kingdom,Low Value,0.00,0,0.0000
255,59,75702.00,Graduation,United States,Low Value,0.00,0,0.0000
256,52,30899.00,PhD,United Kingdom,Low Value,0.00,0,0.0000
257,65,63342.00,PhD,Germany,Low Value,0.00,0,0.0000
258,62,45989.00,Graduation,Canada,Low Value,0.00,0,0.0000
259,62,18701.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
260,69,40737.00,PhD,Germany,Low Value,0.00,0,0.0000
261,47,15287.00,Graduation,United States,Low Value,0.00,0,0.0000
262,58,69674.00,PhD,United States,Low Value,0.00,0,0.0000
263,56,44159.00,Master,Germany,Low Value,0.00,0,0.0000
264,48,37717.00,PhD,United Kingdom,Low Value,0.00,0,0.0000
265,74,43776.00,Master,Australia,Low Value,0.00,0,0.0000
266,60,38179.00,Master,United Kingdom,Low Value,0.00,0,0.0000
267,63,80124.00,Graduation,Australia,Low Value,0.00,0,0.0000
268,56,38097.00,PhD,Canada,Low Value,0.00,0,0.0000
269,56,72940.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
270,56,22070.00,Graduation,Germany,Low Value,0.00,0,0.0000
271,73,69267.00,Graduation,United States,Low Value,0.00,0,0.0000
272,43,31788.00,Master,Canada,Low Value,0.00,0,0.0000
273,51,61905.00,PhD,United States,Low Value,0.00,0,0.0000
274,66,29315.00,Graduation,Canada,Low Value,0.00,0,0.0000
275,63,33378.00,Graduation,United States,Low Value,0.00,0,0.0000
276,63,66313.00,PhD,Germany,Low Value,0.00,0,0.0000
277,70,60714.00,Graduation,Australia,Low Value,0.00,0,0.0000
278,45,77882.00,Master,United Kingdom,Low Value,0.00,0,0.0000
279,40,69867.00,PhD,Australia,Low Value,0.00,0,0.0000
280,58,63841.00,Master,Germany,Low Value,0.00,0,0.0000
281,45,24480.00,Basic,United Kingdom,Low Value,0.00,0,0.0000
282,50,51369.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
283,80,37760.00,Graduation,United States,Low Value,0.00,0,0.0000
284,52,65640.00,PhD,Germany,Low Value,0.00,0,0.0000
285,51,44319.00,Master,Canada,Low Value,0.00,0,0.0000
286,52,30631.00,Graduation,Canada,Low Value,0.00,0,0.0000
287,74,75278.00,Graduation,United States,Low Value,0.00,0,0.0000
288,70,50898.00,Master,Australia,Low Value,0.00,0,0.0000
289,60,79946.00,Graduation,Germany,Low Value,0.00,0,0.0000
290,77,35416.00,Master,United States,Low Value,0.00,0,0.0000
291,42,32414.00,2n Cycle,United Kingdom,Low Value,0.00,0,0.0000
292,57,38361.00,Graduation,Germany,Low Value,0.00,0,0.0000
293,46,82497.00,Graduation,Australia,Low Value,0.00,0,0.0000
294,55,16626.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
295,61,29672.00,Graduation,Canada,Low Value,0.00,0,0.0000
296,74,55951.00,Master,Germany,Low Value,0.00,0,0.0000
297,38,35388.00,2n Cycle,Canada,Low Value,0.00,0,0.0000
298,40,42386.00,Master,United States,Low Value,0.00,0,0.0000
299,44,68627.00,Graduation,United States,Low Value,0.00,0,0.0000
300,61,57912.00,PhD,Australia,Low Value,0.00,0,0.0000
301,68,35246.00,Graduation,Canada,Low Value,0.00,0,0.0000
302,70,58821.00,2n Cycle,Canada,Low Value,0.00,0,0.0000
303,48,46377.00,PhD,Germany,Low Value,0.00,0,0.0000
304,38,39747.00,Graduation,United States,Low Value,0.00,0,0.0000
305,42,23976.00,Graduation,Australia,Low Value,0.00,0,0.0000
306,65,80950.00,Master,United States,Low Value,0.00,0,0.0000
307,60,27038.00,Graduation,Australia,Low Value,0.00,0,0.0000
308,79,77457.00,Graduation,United States,Low Value,0.00,0,0.0000
309,62,64100.00,Master,United Kingdom,Low Value,0.00,0,0.0000
310,34,42670.00,Master,Canada,Low Value,0.00,0,0.0000
311,50,12571.00,Graduation,Canada,Low Value,0.00,0,0.0000
312,59,22574.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
313,37,0.00,Graduation,Germany,Low Value,0.00,0,0.0000
314,50,70893.00,Master,Australia,Low Value,0.00,0,0.0000
315,60,54198.00,Graduation,Canada,Low Value,0.00,0,0.0000
316,70,28839.00,Master,Germany,Low Value,0.00,0,0.0000
317,54,40321.00,Graduation,United States,Low Value,0.00,0,0.0000
318,41,66503.00,Graduation,Australia,Low Value,0.00,0,0.0000
319,75,30833.00,Graduation,Germany,Low Value,0.00,0,0.0000
320,56,0.00,Graduation,Germany,Low Value,0.00,0,0.0000
321,55,64795.00,Graduation,Australia,Low Value,0.00,0,0.0000
322,52,34421.00,Graduation,Canada,Low Value,0.00,0,0.0000
323,61,47025.00,PhD,Australia,Low Value,0.00,0,0.0000
324,65,64325.00,PhD,Germany,Low Value,0.00,0,0.0000
325,73,40464.00,Graduation,United States,Low Value,0.00,0,0.0000
326,69,62187.00,Graduation,Germany,Low Value,0.00,0,0.0000
327,50,14849.00,PhD,United Kingdom,Low Value,0.00,0,0.0000
328,42,27255.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
329,76,54432.00,PhD,Canada,Low Value,0.00,0,0.0000
330,40,29999.00,PhD,Canada,Low Value,0.00,0,0.0000
331,43,24072.00,Graduation,Australia,Low Value,0.00,0,0.0000
332,37,33996.00,PhD,United States,Low Value,0.00,0,0.0000
333,70,66334.00,PhD,United Kingdom,Low Value,0.00,0,0.0000
334,55,35178.00,Master,United Kingdom,Low Value,0.00,0,0.0000
335,43,22010.00,Graduation,Australia,Low Value,0.00,0,0.0000
336,66,62204.00,Graduation,Australia,Low Value,0.00,0,0.0000
337,58,75693.00,Graduation,Germany,Low Value,0.00,0,0.0000
338,54,30675.00,Graduation,Canada,Low Value,0.00,0,0.0000
339,61,83003.00,Graduation,Canada,Low Value,0.00,0,0.0000
340,127,83532.00,PhD,United Kingdom,Low Value,0.00,0,0.0000
341,38,68655.00,Graduation,Canada,Low Value,0.00,0,0.0000
342,40,41411.00,Graduation,United States,Low Value,0.00,0,0.0000
343,57,55212.00,PhD,Germany,Low Value,0.00,0,0.0000
344,76,59292.00,PhD,Canada,Low Value,0.00,0,0.0000
345,53,27190.00,Basic,United States,Low Value,0.00,0,0.0000
346,74,82623.00,Graduation,Canada,Low Value,0.00,0,0.0000
347,61,44300.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
348,56,84835.00,Graduation,Germany,Low Value,0.00,0,0.0000
349,55,30372.00,Graduation,Australia,Low Value,0.00,0,0.0000
350,50,33181.00,Master,United States,Low Value,0.00,0,0.0000
351,69,71113.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
352,40,71952.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
353,60,69759.00,PhD,United States,Low Value,0.00,0,0.0000
354,52,72099.00,Graduation,United States,Low Value,0.00,0,0.0000
355,50,60000.00,PhD,Germany,Low Value,0.00,0,0.0000
356,48,38643.00,Graduation,Canada,Low Value,0.00,0,0.0000
357,71,50737.00,Graduation,Canada,Low Value,0.00,0,0.0000
358,57,68462.00,PhD,Germany,Low Value,0.00,0,0.0000
359,83,65073.00,Master,Germany,Low Value,0.00,0,0.0000
360,78,46681.00,PhD,Canada,Low Value,0.00,0,0.0000
361,69,78618.00,Graduation,Australia,Low Value,0.00,0,0.0000
362,57,62187.00,PhD,Germany,Low Value,0.00,0,0.0000
363,48,28442.00,Graduation,Canada,Low Value,0.00,0,0.0000
364,48,37717.00,PhD,United Kingdom,Low Value,0.00,0,0.0000
365,59,51479.00,Graduation,Canada,Low Value,0.00,0,0.0000
366,57,54803.00,Graduation,Canada,Low Value,0.00,0,0.0000
367,66,79530.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
368,50,31615.00,Graduation,Canada,Low Value,0.00,0,0.0000
369,64,72025.00,Graduation,United States,Low Value,0.00,0,0.0000
370,51,52614.00,PhD,Australia,Low Value,0.00,0,0.0000
371,42,35684.00,2n Cycle,Germany,Low Value,0.00,0,0.0000
372,51,48178.00,Graduation,Germany,Low Value,0.00,0,0.0000
373,56,29548.00,Master,United States,Low Value,0.00,0,0.0000
374,60,63810.00,Graduation,Germany,Low Value,0.00,0,0.0000
375,54,38578.00,PhD,Canada,Low Value,0.00,0,0.0000
376,51,46098.00,Master,United Kingdom,Low Value,0.00,0,0.0000
377,56,22585.00,Graduation,Australia,Low Value,0.00,0,0.0000
378,37,30279.00,Graduation,Canada,Low Value,0.00,0,0.0000
379,65,66426.00,PhD,United Kingdom,Low Value,0.00,0,0.0000
380,57,30822.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
381,57,33581.00,PhD,United Kingdom,Low Value,0.00,0,0.0000
382,41,19986.00,Graduation,Germany,Low Value,0.00,0,0.0000
383,72,27421.00,Graduation,Australia,Low Value,0.00,0,0.0000
384,53,35688.00,2n Cycle,United Kingdom,Low Value,0.00,0,0.0000
385,45,36143.00,Master,Germany,Low Value,0.00,0,0.0000
386,55,10245.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
387,58,43795.00,Master,Canada,Low Value,0.00,0,0.0000
388,66,63381.00,Graduation,United States,Low Value,0.00,0,0.0000
389,77,38823.00,Graduation,Germany,Low Value,0.00,0,0.0000
390,58,83664.00,PhD,United States,Low Value,0.00,0,0.0000
391,47,90300.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
392,47,62499.00,Master,Germany,Low Value,0.00,0,0.0000
393,33,74293.00,Graduation,Germany,Low Value,0.00,0,0.0000
394,80,51012.00,PhD,Canada,Low Value,0.00,0,0.0000
395,58,70777.00,Master,Germany,Low Value,0.00,0,0.0000
396,35,68682.00,PhD,Canada,Low Value,0.00,0,0.0000
397,55,43824.00,Graduation,United States,Low Value,0.00,0,0.0000
398,42,15345.00,Graduation,Australia,Low Value,0.00,0,0.0000
399,39,23442.00,Graduation,Germany,Low Value,0.00,0,0.0000
400,46,14515.00,2n Cycle,United States,Low Value,0.00,0,0.0000
401,70,31395.00,2n Cycle,United Kingdom,Low Value,0.00,0,0.0000
402,61,75276.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
403,52,42373.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
404,66,30507.00,Graduation,Australia,Low Value,0.00,0,0.0000
405,71,55521.00,PhD,Canada,Low Value,0.00,0,0.0000
406,61,48006.00,Graduation,Canada,Low Value,0.00,0,0.0000
407,54,27213.00,PhD,United States,Low Value,0.00,0,0.0000
408,55,65808.00,PhD,United Kingdom,Low Value,0.00,0,0.0000
409,52,30351.00,PhD,United Kingdom,Low Value,0.00,0,0.0000
