Age,Income,Education,TotalPurchases,AverageSpend,CampaignChannel,Response
47,2447.00,"Graduation",0,0,"Google Search Ads",0
47,2447.00,"Graduation",0,0,"Display Ads",0
47,2447.00,"Graduation",0,0,"Email",0
77,58607.00,"PhD",0,0,"Email",0
77,58607.00,"PhD",0,0,"SMS",0
77,58607.00,"PhD",0,0,"Social Media",0
77,58607.00,"PhD",0,0,"Google Search Ads",0
77,58607.00,"PhD",0,0,"Display Ads",0
77,58607.00,"PhD",0,0,"Email",0
72,65324.00,"PhD",0,0,"Email",0
72,65324.00,"PhD",0,0,"SMS",0
72,65324.00,"PhD",0,0,"Social Media",0
72,65324.00,"PhD",0,0,"Google Search Ads",0
72,65324.00,"PhD",0,0,"Display Ads",0
72,65324.00,"PhD",0,0,"Email",0
75,40689.00,"Graduation",0,0,"Email",0
75,40689.00,"Graduation",0,0,"SMS",0
75,40689.00,"Graduation",0,0,"Social Media",0
75,40689.00,"Graduation",0,0,"Google Search Ads",0
75,40689.00,"Graduation",0,0,"Display Ads",0
75,40689.00,"Graduation",0,0,"Email",0
57,18589.00,"Graduation",0,0,"Email",0
57,18589.00,"Graduation",0,0,"SMS",0
57,18589.00,"Graduation",0,0,"Social Media",0
57,18589.00,"Graduation",0,0,"Google Search Ads",0
57,18589.00,"Graduation",0,0,"Display Ads",0
57,18589.00,"Graduation",0,0,"Email",0
50,53359.00,"Graduation",0,0,"Email",0
50,53359.00,"Graduation",0,0,"SMS",0
50,53359.00,"Graduation",0,0,"Social Media",0
50,53359.00,"Graduation",0,0,"Google Search Ads",0
50,53359.00,"Graduation",0,0,"Display Ads",0
50,53359.00,"Graduation",0,0,"Email",0
40,0.00,"Graduation",0,0,"Email",0
40,0.00,"Graduation",0,0,"SMS",0
40,0.00,"Graduation",0,0,"Social Media",0
40,0.00,"Graduation",0,0,"Google Search Ads",0
40,0.00,"Graduation",0,0,"Display Ads",0
40,0.00,"Graduation",0,0,"Email",0
37,38360.00,"Graduation",0,0,"Email",0
37,38360.00,"Graduation",0,0,"SMS",0
37,38360.00,"Graduation",0,0,"Social Media",0
37,38360.00,"Graduation",0,0,"Google Search Ads",0
37,38360.00,"Graduation",0,0,"Display Ads",0
37,38360.00,"Graduation",0,0,"Email",0
61,84618.00,"PhD",0,0,"Email",0
61,84618.00,"PhD",0,0,"SMS",0
61,84618.00,"PhD",0,0,"Social Media",0
61,84618.00,"PhD",0,0,"Google Search Ads",0
61,84618.00,"PhD",0,0,"Display Ads",0
61,84618.00,"PhD",0,0,"Email",0
37,10979.00,"Master",0,0,"Email",0
37,10979.00,"Master",0,0,"SMS",0
37,10979.00,"Master",0,0,"Social Media",0
37,10979.00,"Master",0,0,"Google Search Ads",0
37,10979.00,"Master",0,0,"Display Ads",0
37,10979.00,"Master",0,0,"Email",0
63,38620.00,"Master",0,0,"Email",0
63,38620.00,"Master",0,0,"SMS",0
63,38620.00,"Master",0,0,"Social Media",0
63,38620.00,"Master",0,0,"Google Search Ads",0
63,38620.00,"Master",0,0,"Display Ads",0
63,38620.00,"Master",0,0,"Email",0
56,40548.00,"Graduation",0,0,"Email",0
56,40548.00,"Graduation",0,0,"SMS",0
56,40548.00,"Graduation",0,0,"Social Media",0
56,40548.00,"Graduation",0,0,"Google Search Ads",0
56,40548.00,"Graduation",0,0,"Display Ads",0
56,40548.00,"Graduation",0,0,"Email",0
74,46610.00,"PhD",0,0,"Email",0
74,46610.00,"PhD",0,0,"SMS",0
74,46610.00,"PhD",0,0,"Social Media",0
74,46610.00,"PhD",0,0,"Google Search Ads",0
74,46610.00,"PhD",0,0,"Display Ads",0
74,46610.00,"PhD",0,0,"Email",0
80,68657.00,"Master",0,0,"Email",0
80,68657.00,"Master",0,0,"SMS",0
80,68657.00,"Master",0,0,"Social Media",0
80,68657.00,"Master",0,0,"Google Search Ads",0
80,68657.00,"Master",0,0,"Display Ads",0
80,68657.00,"Master",0,0,"Email",0
75,49389.00,"Master",0,0,"Email",0
75,49389.00,"Master",0,0,"SMS",0
75,49389.00,"Master",0,0,"Social Media",0
75,49389.00,"Master",0,0,"Google Search Ads",0
75,49389.00,"Master",0,0,"Display Ads",0
75,49389.00,"Master",0,0,"Email",0
56,67353.00,"PhD",0,0,"Email",0
56,67353.00,"PhD",0,0,"SMS",0
56,67353.00,"PhD",0,0,"Social Media",0
56,67353.00,"PhD",0,0,"Google Search Ads",0
56,67353.00,"PhD",0,0,"Display Ads",0
56,67353.00,"PhD",0,0,"Email",0
50,23718.00,"2n Cycle",0,0,"Email",0
50,23718.00,"2n Cycle",0,0,"SMS",0
50,23718.00,"2n Cycle",0,0,"Social Media",0
50,23718.00,"2n Cycle",0,0,"Google Search Ads",0
50,23718.00,"2n Cycle",0,0,"Display Ads",0
50,23718.00,"2n Cycle",0,0,"Email",0
53,42429.00,"Graduation",0,0,"Email",0
53,42429.00,"Graduation",0,0,"SMS",0
53,42429.00,"Graduation",0,0,"Social Media",0
53,42429.00,"Graduation",0,0,"Google Search Ads",0
53,42429.00,"Graduation",0,0,"Display Ads",0
53,42429.00,"Graduation",0,0,"Email",0
83,48948.00,"PhD",0,0,"Email",0
83,48948.00,"PhD",0,0,"SMS",0
83,48948.00,"PhD",0,0,"Social Media",0
83,48948.00,"PhD",0,0,"Google Search Ads",0
83,48948.00,"PhD",0,0,"Display Ads",0
83,48948.00,"PhD",0,0,"Email",0
46,80011.00,"Graduation",0,0,"Email",0
46,80011.00,"Graduation",0,0,"SMS",0
46,80011.00,"Graduation",0,0,"Social Media",0
46,80011.00,"Graduation",0,0,"Google Search Ads",0
46,80011.00,"Graduation",0,0,"Display Ads",0
46,80011.00,"Graduation",0,0,"Email",0
41,20559.00,"Master",0,0,"Email",0
41,20559.00,"Master",0,0,"SMS",0
41,20559.00,"Master",0,0,"Social Media",0
41,20559.00,"Master",0,0,"Google Search Ads",0
41,20559.00,"Master",0,0,"Display Ads",0
41,20559.00,"Master",0,0,"Email",0
69,21994.00,"Graduation",0,0,"Email",0
69,21994.00,"Graduation",0,0,"SMS",0
69,21994.00,"Graduation",0,0,"Social Media",0
69,21994.00,"Graduation",0,0,"Google Search Ads",0
69,21994.00,"Graduation",0,0,"Display Ads",0
69,21994.00,"Graduation",0,0,"Email",0
67,0.00,"PhD",0,0,"Email",0
67,0.00,"PhD",0,0,"SMS",0
67,0.00,"PhD",0,0,"Social Media",0
67,0.00,"PhD",0,0,"Google Search Ads",0
67,0.00,"PhD",0,0,"Display Ads",0
67,0.00,"PhD",0,0,"Email",0
51,7500.00,"Master",0,0,"Email",0
51,7500.00,"Master",0,0,"SMS",0
51,7500.00,"Master",0,0,"Social Media",0
51,7500.00,"Master",0,0,"Google Search Ads",0
51,7500.00,"Master",0,0,"Display Ads",0
51,7500.00,"Master",0,0,"Email",0
50,79941.00,"Graduation",0,0,"Email",0
50,79941.00,"Graduation",0,0,"SMS",0
50,79941.00,"Graduation",0,0,"Social Media",0
50,79941.00,"Graduation",0,0,"Google Search Ads",0
50,79941.00,"Graduation",0,0,"Display Ads",0
50,79941.00,"Graduation",0,0,"Email",0
30,7500.00,"2n Cycle",0,0,"Email",0
30,7500.00,"2n Cycle",0,0,"SMS",0
30,7500.00,"2n Cycle",0,0,"Social Media",0
30,7500.00,"2n Cycle",0,0,"Google Search Ads",0
30,7500.00,"2n Cycle",0,0,"Display Ads",0
30,7500.00,"2n Cycle",0,0,"Email",0
58,41728.00,"Graduation",0,0,"Email",0
58,41728.00,"Graduation",0,0,"SMS",0
58,41728.00,"Graduation",0,0,"Social Media",0
58,41728.00,"Graduation",0,0,"Google Search Ads",0
58,41728.00,"Graduation",0,0,"Display Ads",0
58,41728.00,"Graduation",0,0,"Email",0
75,0.00,"Graduation",0,0,"Email",0
75,0.00,"Graduation",0,0,"SMS",0
75,0.00,"Graduation",0,0,"Social Media",0
75,0.00,"Graduation",0,0,"Google Search Ads",0
75,0.00,"Graduation",0,0,"Display Ads",0
75,0.00,"Graduation",0,0,"Email",0
72,72550.00,"PhD",0,0,"Email",0
72,72550.00,"PhD",0,0,"SMS",0
72,72550.00,"PhD",0,0,"Social Media",0
72,72550.00,"PhD",0,0,"Google Search Ads",0
72,72550.00,"PhD",0,0,"Display Ads",0
72,72550.00,"PhD",0,0,"Email",0
69,65486.00,"Graduation",0,0,"Email",0
69,65486.00,"Graduation",0,0,"SMS",0
69,65486.00,"Graduation",0,0,"Social Media",0
69,65486.00,"Graduation",0,0,"Google Search Ads",0
69,65486.00,"Graduation",0,0,"Display Ads",0
69,65486.00,"Graduation",0,0,"Email",0
62,79143.00,"Master",0,0,"Email",0
62,79143.00,"Master",0,0,"SMS",0
62,79143.00,"Master",0,0,"Social Media",0
62,79143.00,"Master",0,0,"Google Search Ads",0
62,79143.00,"Master",0,0,"Display Ads",0
62,79143.00,"Master",0,0,"Email",0
49,35790.00,"Graduation",0,0,"Email",0
49,35790.00,"Graduation",0,0,"SMS",0
49,35790.00,"Graduation",0,0,"Social Media",0
49,35790.00,"Graduation",0,0,"Google Search Ads",0
49,35790.00,"Graduation",0,0,"Display Ads",0
49,35790.00,"Graduation",0,0,"Email",0
49,82582.00,"Graduation",0,0,"Email",0
49,82582.00,"Graduation",0,0,"SMS",0
49,82582.00,"Graduation",0,0,"Social Media",0
49,82582.00,"Graduation",0,0,"Google Search Ads",0
49,82582.00,"Graduation",0,0,"Display Ads",0
49,82582.00,"Graduation",0,0,"Email",0
48,66373.00,"Graduation",0,0,"Email",0
48,66373.00,"Graduation",0,0,"SMS",0
48,66373.00,"Graduation",0,0,"Social Media",0
48,66373.00,"Graduation",0,0,"Google Search Ads",0
48,66373.00,"Graduation",0,0,"Display Ads",0
48,66373.00,"Graduation",0,0,"Email",0
71,82384.00,"Master",0,0,"Email",0
71,82384.00,"Master",0,0,"SMS",0
71,82384.00,"Master",0,0,"Social Media",0
71,82384.00,"Master",0,0,"Google Search Ads",0
71,82384.00,"Master",0,0,"Display Ads",0
71,82384.00,"Master",0,0,"Email",0
60,70287.00,"Graduation",0,0,"Email",0
60,70287.00,"Graduation",0,0,"SMS",0
60,70287.00,"Graduation",0,0,"Social Media",0
60,70287.00,"Graduation",0,0,"Google Search Ads",0
60,70287.00,"Graduation",0,0,"Display Ads",0
60,70287.00,"Graduation",0,0,"Email",0
38,27938.00,"Graduation",0,0,"Email",0
38,27938.00,"Graduation",0,0,"SMS",0
38,27938.00,"Graduation",0,0,"Social Media",0
38,27938.00,"Graduation",0,0,"Google Search Ads",0
38,27938.00,"Graduation",0,0,"Display Ads",0
38,27938.00,"Graduation",0,0,"Email",0
44,0.00,"Graduation",0,0,"Email",0
44,0.00,"Graduation",0,0,"SMS",0
44,0.00,"Graduation",0,0,"Social Media",0
44,0.00,"Graduation",0,0,"Google Search Ads",0
44,0.00,"Graduation",0,0,"Display Ads",0
44,0.00,"Graduation",0,0,"Email",0
58,55954.00,"PhD",0,0,"Email",0
58,55954.00,"PhD",0,0,"SMS",0
58,55954.00,"PhD",0,0,"Social Media",0
58,55954.00,"PhD",0,0,"Google Search Ads",0
58,55954.00,"PhD",0,0,"Display Ads",0
58,55954.00,"PhD",0,0,"Email",0
44,75777.00,"Master",0,0,"Email",0
44,75777.00,"Master",0,0,"SMS",0
44,75777.00,"Master",0,0,"Social Media",0
44,75777.00,"Master",0,0,"Google Search Ads",0
44,75777.00,"Master",0,0,"Display Ads",0
44,75777.00,"Master",0,0,"Email",0
51,66653.00,"Graduation",0,0,"Email",0
51,66653.00,"Graduation",0,0,"SMS",0
51,66653.00,"Graduation",0,0,"Social Media",0
51,66653.00,"Graduation",0,0,"Google Search Ads",0
51,66653.00,"Graduation",0,0,"Display Ads",0
51,66653.00,"Graduation",0,0,"Email",0
74,61823.00,"Graduation",0,0,"Email",0
74,61823.00,"Graduation",0,0,"SMS",0
74,61823.00,"Graduation",0,0,"Social Media",0
74,61823.00,"Graduation",0,0,"Google Search Ads",0
74,61823.00,"Graduation",0,0,"Display Ads",0
74,61823.00,"Graduation",0,0,"Email",0
75,67680.00,"PhD",0,0,"Email",0
75,67680.00,"PhD",0,0,"SMS",0
75,67680.00,"PhD",0,0,"Social Media",0
75,67680.00,"PhD",0,0,"Google Search Ads",0
75,67680.00,"PhD",0,0,"Display Ads",0
75,67680.00,"PhD",0,0,"Email",0
78,70666.00,"Graduation",0,0,"Email",0
78,70666.00,"Graduation",0,0,"SMS",0
78,70666.00,"Graduation",0,0,"Social Media",0
78,70666.00,"Graduation",0,0,"Google Search Ads",0
78,70666.00,"Graduation",0,0,"Display Ads",0
78,70666.00,"Graduation",0,0,"Email",0
55,25721.00,"Graduation",0,0,"Email",0
55,25721.00,"Graduation",0,0,"SMS",0
55,25721.00,"Graduation",0,0,"Social Media",0
55,25721.00,"Graduation",0,0,"Google Search Ads",0
55,25721.00,"Graduation",0,0,"Display Ads",0
55,25721.00,"Graduation",0,0,"Email",0
59,32474.00,"Graduation",0,0,"Email",0
59,32474.00,"Graduation",0,0,"SMS",0
59,32474.00,"Graduation",0,0,"Social Media",0
59,32474.00,"Graduation",0,0,"Google Search Ads",0
59,32474.00,"Graduation",0,0,"Display Ads",0
59,32474.00,"Graduation",0,0,"Email",0
47,88194.00,"2n Cycle",0,0,"Email",0
47,88194.00,"2n Cycle",0,0,"SMS",0
47,88194.00,"2n Cycle",0,0,"Social Media",0
47,88194.00,"2n Cycle",0,0,"Google Search Ads",0
47,88194.00,"2n Cycle",0,0,"Display Ads",0
47,88194.00,"2n Cycle",0,0,"Email",0
68,69096.00,"Graduation",0,0,"Email",0
68,69096.00,"Graduation",0,0,"SMS",0
68,69096.00,"Graduation",0,0,"Social Media",0
68,69096.00,"Graduation",0,0,"Google Search Ads",0
68,69096.00,"Graduation",0,0,"Display Ads",0
68,69096.00,"Graduation",0,0,"Email",0
56,74854.00,"Graduation",0,0,"Email",0
56,74854.00,"Graduation",0,0,"SMS",0
56,74854.00,"Graduation",0,0,"Social Media",0
56,74854.00,"Graduation",0,0,"Google Search Ads",0
56,74854.00,"Graduation",0,0,"Display Ads",0
56,74854.00,"Graduation",0,0,"Email",0
72,66991.00,"Master",0,0,"Email",0
72,66991.00,"Master",0,0,"SMS",0
72,66991.00,"Master",0,0,"Social Media",0
72,66991.00,"Master",0,0,"Google Search Ads",0
72,66991.00,"Master",0,0,"Display Ads",0
72,66991.00,"Master",0,0,"Email",0
53,0.00,"2n Cycle",0,0,"Email",0
53,0.00,"2n Cycle",0,0,"SMS",0
53,0.00,"2n Cycle",0,0,"Social Media",0
53,0.00,"2n Cycle",0,0,"Google Search Ads",0
53,0.00,"2n Cycle",0,0,"Display Ads",0
53,0.00,"2n Cycle",0,0,"Email",0
67,65031.00,"Graduation",0,0,"Email",0
67,65031.00,"Graduation",0,0,"SMS",0
67,65031.00,"Graduation",0,0,"Social Media",0
67,65031.00,"Graduation",0,0,"Google Search Ads",0
67,65031.00,"Graduation",0,0,"Display Ads",0
67,65031.00,"Graduation",0,0,"Email",0
51,60631.00,"PhD",0,0,"Email",0
51,60631.00,"PhD",0,0,"SMS",0
51,60631.00,"PhD",0,0,"Social Media",0
51,60631.00,"PhD",0,0,"Google Search Ads",0
51,60631.00,"PhD",0,0,"Display Ads",0
51,60631.00,"PhD",0,0,"Email",0
74,28332.00,"Graduation",0,0,"Email",0
74,28332.00,"Graduation",0,0,"SMS",0
74,28332.00,"Graduation",0,0,"Social Media",0
74,28332.00,"Graduation",0,0,"Google Search Ads",0
74,28332.00,"Graduation",0,0,"Display Ads",0
74,28332.00,"Graduation",0,0,"Email",0
49,40246.00,"Graduation",0,0,"Email",0
49,40246.00,"Graduation",0,0,"SMS",0
49,40246.00,"Graduation",0,0,"Social Media",0
49,40246.00,"Graduation",0,0,"Google Search Ads",0
49,40246.00,"Graduation",0,0,"Display Ads",0
49,40246.00,"Graduation",0,0,"Email",0
54,75251.00,"Master",0,0,"Email",0
54,75251.00,"Master",0,0,"SMS",0
54,75251.00,"Master",0,0,"Social Media",0
54,75251.00,"Master",0,0,"Google Search Ads",0
54,75251.00,"Master",0,0,"Display Ads",0
54,75251.00,"Master",0,0,"Email",0
50,75825.00,"Graduation",0,0,"Email",0
50,75825.00,"Graduation",0,0,"SMS",0
50,75825.00,"Graduation",0,0,"Social Media",0
50,75825.00,"Graduation",0,0,"Google Search Ads",0
50,75825.00,"Graduation",0,0,"Display Ads",0
50,75825.00,"Graduation",0,0,"Email",0
50,26326.00,"2n Cycle",0,0,"Email",0
50,26326.00,"2n Cycle",0,0,"SMS",0
50,26326.00,"2n Cycle",0,0,"Social Media",0
50,26326.00,"2n Cycle",0,0,"Google Search Ads",0
50,26326.00,"2n Cycle",0,0,"Display Ads",0
50,26326.00,"2n Cycle",0,0,"Email",0
61,56046.00,"Graduation",0,0,"Email",0
61,56046.00,"Graduation",0,0,"SMS",0
61,56046.00,"Graduation",0,0,"Social Media",0
61,56046.00,"Graduation",0,0,"Google Search Ads",0
61,56046.00,"Graduation",0,0,"Display Ads",0
61,56046.00,"Graduation",0,0,"Email",0
41,29760.00,"Graduation",0,0,"Email",0
41,29760.00,"Graduation",0,0,"SMS",0
41,29760.00,"Graduation",0,0,"Social Media",0
41,29760.00,"Graduation",0,0,"Google Search Ads",0
41,29760.00,"Graduation",0,0,"Display Ads",0
41,29760.00,"Graduation",0,0,"Email",0
57,26304.00,"Graduation",0,0,"Email",0
57,26304.00,"Graduation",0,0,"SMS",0
57,26304.00,"Graduation",0,0,"Social Media",0
57,26304.00,"Graduation",0,0,"Google Search Ads",0
57,26304.00,"Graduation",0,0,"Display Ads",0
57,26304.00,"Graduation",0,0,"Email",0
53,23559.00,"2n Cycle",0,0,"Email",0
53,23559.00,"2n Cycle",0,0,"SMS",0
53,23559.00,"2n Cycle",0,0,"Social Media",0
53,23559.00,"2n Cycle",0,0,"Google Search Ads",0
53,23559.00,"2n Cycle",0,0,"Display Ads",0
53,23559.00,"2n Cycle",0,0,"Email",0
63,38620.00,"Master",0,0,"Email",0
63,38620.00,"Master",0,0,"SMS",0
63,38620.00,"Master",0,0,"Social Media",0
63,38620.00,"Master",0,0,"Google Search Ads",0
63,38620.00,"Master",0,0,"Display Ads",0
63,38620.00,"Master",0,0,"Email",0
39,81361.00,"Graduation",0,0,"Email",0
39,81361.00,"Graduation",0,0,"SMS",0
39,81361.00,"Graduation",0,0,"Social Media",0
39,81361.00,"Graduation",0,0,"Google Search Ads",0
39,81361.00,"Graduation",0,0,"Display Ads",0
39,81361.00,"Graduation",0,0,"Email",0
66,29440.00,"Graduation",0,0,"Email",0
66,29440.00,"Graduation",0,0,"SMS",0
66,29440.00,"Graduation",0,0,"Social Media",0
66,29440.00,"Graduation",0,0,"Google Search Ads",0
66,29440.00,"Graduation",0,0,"Display Ads",0
66,29440.00,"Graduation",0,0,"Email",0
56,36138.00,"Master",0,0,"Email",0
56,36138.00,"Master",0,0,"SMS",0
56,36138.00,"Master",0,0,"Social Media",0
56,36138.00,"Master",0,0,"Google Search Ads",0
56,36138.00,"Master",0,0,"Display Ads",0
56,36138.00,"Master",0,0,"Email",0
69,50388.00,"Graduation",0,0,"Email",0
69,50388.00,"Graduation",0,0,"SMS",0
69,50388.00,"Graduation",0,0,"Social Media",0
69,50388.00,"Graduation",0,0,"Google Search Ads",0
69,50388.00,"Graduation",0,0,"Display Ads",0
69,50388.00,"Graduation",0,0,"Email",0
53,79593.00,"Graduation",0,0,"Email",0
53,79593.00,"Graduation",0,0,"SMS",0
53,79593.00,"Graduation",0,0,"Social Media",0
53,79593.00,"Graduation",0,0,"Google Search Ads",0
53,79593.00,"Graduation",0,0,"Display Ads",0
53,79593.00,"Graduation",0,0,"Email",0
59,54178.00,"Graduation",0,0,"Email",0
59,54178.00,"Graduation",0,0,"SMS",0
59,54178.00,"Graduation",0,0,"Social Media",0
59,54178.00,"Graduation",0,0,"Google Search Ads",0
59,54178.00,"Graduation",0,0,"Display Ads",0
59,54178.00,"Graduation",0,0,"Email",0
69,0.00,"PhD",0,0,"Email",0
69,0.00,"PhD",0,0,"SMS",0
69,0.00,"PhD",0,0,"Social Media",0
69,0.00,"PhD",0,0,"Google Search Ads",0
69,0.00,"PhD",0,0,"Display Ads",0
69,0.00,"PhD",0,0,"Email",0
69,0.00,"Graduation",0,0,"Email",0
69,0.00,"Graduation",0,0,"SMS",0
69,0.00,"Graduation",0,0,"Social Media",0
69,0.00,"Graduation",0,0,"Google Search Ads",0
69,0.00,"Graduation",0,0,"Display Ads",0
69,0.00,"Graduation",0,0,"Email",0
53,0.00,"Master",0,0,"Email",0
53,0.00,"Master",0,0,"SMS",0
53,0.00,"Master",0,0,"Social Media",0
53,0.00,"Master",0,0,"Google Search Ads",0
53,0.00,"Master",0,0,"Display Ads",0
53,0.00,"Master",0,0,"Email",0
54,42394.00,"Master",0,0,"Email",0
54,42394.00,"Master",0,0,"SMS",0
54,42394.00,"Master",0,0,"Social Media",0
54,42394.00,"Master",0,0,"Google Search Ads",0
54,42394.00,"Master",0,0,"Display Ads",0
54,42394.00,"Master",0,0,"Email",0
56,23626.00,"PhD",0,0,"Email",0
56,23626.00,"PhD",0,0,"SMS",0
56,23626.00,"PhD",0,0,"Social Media",0
56,23626.00,"PhD",0,0,"Google Search Ads",0
56,23626.00,"PhD",0,0,"Display Ads",0
56,23626.00,"PhD",0,0,"Email",0
43,30096.00,"Graduation",0,0,"Email",0
43,30096.00,"Graduation",0,0,"SMS",0
43,30096.00,"Graduation",0,0,"Social Media",0
